Symbol,Name,cash_ratio,return_to_equity,price_to_book,pe,short_interest_ratio,debt_to_equity,eps,last_price,previous_year_price
MITT,"AG Mortgage Investment Trust, Inc.",null,17.01518619,1.015214706,7.5362,3.02,527.2123,0.17,19.09,19.2
MITT^A,"AG Mortgage Investment Trust, Inc.",null,null,null,null,null,null,null,null,
MITT^B,"AG Mortgage Investment Trust, Inc.",null,null,null,null,null,null,null,null,
AGCO,AGCO Corporation,0.1282,7.53056735,1.561649547,28.3103,4.958,69.3996,0.31,60.81,71.7
A,"Agilent Technologies, Inc.",2.1212,5.275459098,4.285189639,30.7031,1.316,45.8487,0.64,62.465,67.06
AEM,Agnico Eagle Mines Limited,2.2059,4.380632463,null,null,3.99,27.8374,null,44.82,41.98
ADC,Agree Realty Corporation,null,7.52035043,1.829658889,29.0511,16.712,61.0679,0.53,53.97,50.19
AL,Air Lease Corporation,0.2148,20.34558289,1.028082551,10.8464,7.846,233.9338,1.07,42.43,44.45
APD,"Air Products and Chemicals, Inc.",1.7087,7.131812971,1.501627134,23.7389,2.316,15.7136,1.9,157.4,162.89
AYR,Aircastle Limited,1.8284,8.534987655,0.847635336,10.0735,0.961,217.5749,0.73,21,23.51
AKS,AK Steel Holding Corporation,0.0444,null,null,7.0238,5.257,null,0.09,4.475,5.33
ALP^Q,Alabama Power Company,null,null,null,null,null,null,null,null,
ALG,"Alamo Group, Inc.",0.7514,10.75217604,2.257165829,22.4209,1.271,31.5782,1.26,93.08,111.08
AGI,Alamos Gold Inc.,2.0139,1.156587427,null,null,2.524,0,null,5.605,6.15
ALK,"Alaska Air Group, Inc.",0.5107,28.91678289,2.229556176,12.3571,3.142,71.2126,0.03,60.59,69.8
AIN,Albany International Corporation,0.8652,5.82387076,3.290438927,40.1293,4.173,87.9575,0.32,61.225,61.1
ALB,Albemarle Corporation,0.7967,3.640693258,2.693337081,27.406,7.18,38.8407,1.19,95.69,130.36
AA,Alcoa Corporation,0.4019,2.525791533,1.52249673,11.6696,1.364,27.1982,0.81,46.52,42.4
ALEX,"Alexander & Baldwin, Inc.",null,24.79926712,null,45.6619,2.309,null,0.71,22.52,28.65
ALX,"Alexander&#39;s, Inc.",null,14.87652592,6.327158637,25.3527,3.405,398.5351,-1.9,385,398.14
ARE,"Alexandria Real Estate Equities, Inc.",null,4.695753027,2.107824954,171.5347,9.509,86.9886,1.33,125.64,131.4
ARE^D,"Alexandria Real Estate Equities, Inc.",null,null,null,null,null,null,null,null,
AQN,Algonquin Power & Utilities Corp.,0.1659,5.282940146,null,null,5.276,152.9895,null,9.7,10.98
BABA,Alibaba Group Holding Limited,1.6082,19.85197504,8.688832913,51.5052,8.124,34.3208,2.95,189.73,174.64
Y,Alleghany Corporation,1.4262,1.35918961,1.074711376,19.7506,1.452,18.4019,11.15,585.64,582.96
ATI,Allegheny Technologies Incorporated,1.3804,-3.172545752,1.703564354,167.8524,15.316,86.615,0.46,25.51,23.26
ALLE,Allegion plc,1.6427,91.2413566,15.91875076,24.9861,6.593,331.0088,0.76,77.64,82.15
AGN,Allergan plc.,1.5478,-2.951347563,0.800350047,1057.9848,1.988,36.7252,-0.99,169.6,171.87
ALE,"Allete, Inc.",0.2465,8.500048795,1.879263383,23.0298,2.412,71.6493,1,77.62,77.37
AKP,Alliance California Municipal Income Fund Inc,null,null,null,null,0.261,null,null,13.19,13.56
ADS,Alliance Data Systems Corporation,0.3231,47.9122708,6.501852352,21.597,4.693,304.247,2.96,232.48,238.34
AFB,Alliance National Municipal Income Fund Inc,null,null,null,null,0.226,null,null,12.67,13.63
AOI,"Alliance One International, Inc.",0.6638,22.06048163,0.615859971,null,1.087,495.6795,-0.5,17.3,12.9
AWF,Alliance World Dollar Government Fund II,0.3437,null,null,null,0.109,null,null,11.5368,12.71
AB,AllianceBernstein Holding L.P.,0.2605,14.39715209,1.795579633,10.8486,1.45,0,0.6,28.5,24.95
LNT,Alliant Energy Corporation,0.2812,11.75631121,2.29977461,17.4866,3.991,126.2886,0.52,42.15,44.01
CBH,AllianzGI Convertible & Income 2024 Target Term Fund,0.4148,null,null,null,0.235,null,null,9.2892,9.14
NCV,AllianzGI Convertible & Income Fund,null,null,null,null,7.746,null,null,6.98,7.04
NCZ,AllianzGI Convertible & Income Fund II,null,null,null,null,3.46,null,null,6,6.17
ACV,AllianzGI Diversified Income & Convertible Fund,null,null,null,null,0.093,null,null,23.475,21.82
NIE,AllianzGI Equity & Convertible Income Fund,null,null,null,null,0.21,null,null,22.31,21.29
NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",null,null,null,null,0.155,null,null,12.72,13.58
ALSN,"Allison Transmission Holdings, Inc.",0.4472,79.27927928,7.87268256,20.4114,4.651,360.3399,1.09,40.705,41.4
ALL,Allstate Corporation (The),null,16.66086957,1.537231217,12.309,3.75,32.7655,2.67,91.52,103.54
ALL^A,Allstate Corporation (The),null,null,null,null,null,null,null,null,
ALL^B,Allstate Corporation (The),null,null,null,null,null,null,null,null,
ALL^C,Allstate Corporation (The),null,null,null,null,null,null,null,null,
ALL^D,Allstate Corporation (The),null,null,null,null,null,null,null,null,
ALL^E,Allstate Corporation (The),null,null,null,null,null,null,null,null,
ALL^F,Allstate Corporation (The),null,null,null,null,null,null,null,null,
ALL^G,Allstate Corporation (The),null,null,null,null,null,null,null,null,
ALLY,Ally Financial Inc.,null,7.297614096,0.847719534,10.0903,4.993,417.6731,0.57,25.75,29.16
ALLY^A,Ally Financial Inc.,null,null,null,null,null,null,null,null,
AYX,"Alteryx, Inc.",1.4146,-11.78099451,13.91993425,null,6.099,0,-0.09,36.58,27.64
ATUS,"Altice USA, Inc.",0.5172,37.95532331,2.274547883,7.9119,6.355,381.4418,-0.17,17.03,19.05
MO,Altria Group,0.2931,77.44991683,6.990818333,24.2783,2.608,90.2754,1,56.2147,71.72
ACH,Aluminum Corporation of China Limited,0.2813,3.501074874,null,null,7.374,195.4478,null,10.89,15.65
AMBR,"Amber Road, Inc.",0.1991,-40.17695772,9.0729276,null,2.422,32.4708,-0.11,9.45,7.34
ABEV,Ambev S.A.,0.3486,15.99019296,null,null,0.384,9.1508,null,4.75,6.47
AMC,"AMC Entertainment Holdings, Inc.",0.2462,-20.39257521,0.996478935,25.327,9.872,235.1604,0.14,16.05,15.25
AEE,Ameren Corporation,0.009,8.003358052,1.992937811,19.1154,2.163,123.0429,0.62,59.98,61.36
AMRC,"Ameresco, Inc.",0.197,14.1745566,1.606801979,22.2276,1.836,71.8993,0.15,11.769,8.7
AMOV,"America Movil, S.A.B. de C.V.",null,5.735626874,null,null,0.007,null,null,16.34,16.88
AMX,"America Movil, S.A.B. de C.V.",null,5.735626874,null,null,2.623,null,null,16.45,17.07
AAT,"American Assets Trust, Inc.",null,2.561883226,2.202913362,69.6997,1.628,155.9699,-0.01,38.46,39.06
AXL,"American Axle & Manufacturing Holdings, Inc.",0.2524,29.55231605,1.088922377,4.3721,6.272,238.7687,0.78,16.6848,17.2
ACC,American Campus Communities Inc,null,1.754393291,1.703307456,63.3759,3.067,90.6757,0.19,42.98,43.55
AEO,"American Eagle Outfitters, Inc.",0.5354,18.82418007,3.463388383,10.1157,2.426,0,0.23,23.76,17.19
AEP,"American Electric Power Company, Inc.",0.408,9.808505347,1.819602662,18.8882,2.787,130.3752,0.92,69.09,76.02
AEL,American Equity Investment Life Holding Company,0.4658,10.50196249,1.263382015,15.0809,2.458,28.9315,1.57,35.53,32.22
AXP,American Express Company,0.8524,14.87126369,4.326966821,16.9681,2.242,276.9235,1.86,98.6918,99.37
AFG,"American Financial Group, Inc.",0.7123,9.003277424,1.842446024,14.5986,3.063,25.1013,1.64,106.72,105.3
AFGE,"American Financial Group, Inc.",null,null,null,null,null,null,null,null,
AFGH,"American Financial Group, Inc.",null,null,null,null,null,null,null,null,
AMH,American Homes 4 Rent,null,-0.388511027,1.502702934,618.0079,3.032,65.24,0.02,22.08,21.88
AMH^D,American Homes 4 Rent,null,null,null,null,null,null,null,null,
AMH^E,American Homes 4 Rent,null,null,null,null,null,null,null,null,
AMH^F,American Homes 4 Rent,null,null,null,null,null,null,null,null,
AMH^G,American Homes 4 Rent,null,null,null,null,null,null,null,null,
AIG,"American International Group, Inc.",null,-9.251722551,0.771275291,24.5387,3.087,53.5403,1.03,53.66,59.93
AIG.WS,"American International Group, Inc.",null,null,null,null,null,null,null,null,
AMID,"American Midstream Partners, LP",0.0499,-76.0803605,4.240535093,null,2.411,919.9047,-0.42,10.4,13.1
ARL,"American Realty Investors, Inc.",null,-4.645173516,2.601441845,null,0.049,939.0806,-0.06,15.8,14.22
ARA,"American Renal Associates Holdings, Inc",0.3893,null,null,28.5429,17.838,null,-0.01,16.17,15.91
AWR,American States Water Company,0.0305,13.0475158,4.029781416,27.8618,8.801,73.4443,0.29,57.91,55.02
AMT,American Tower Corporation (REIT),null,20.29971617,9.899169081,50.5548,2.35,337.4065,0.63,143.54,143.51
AVD,American Vanguard Corporation,0.0966,7.143510488,2.2089534,34.3841,7.865,28.7701,0.16,23.4,18.7
AWK,American Water Works,0.0217,8.176569194,2.767120592,27.5378,6.996,146.8905,0.6,85.51,89.32
COLD,Americold Realty Trust,null,null,11.83415455,null,0.674,523.9494,-0.08,22.44,0
APU,"AmeriGas Partners, L.P.",0.01,15.01734311,4.629716578,31.5444,5.643,323.3849,1.44,41.07,45.02
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",0.0083,27.69536753,3.559405952,12.8653,2.147,90,3.97,140.98,168.6
ABC,AmerisourceBergen Corporation (Holding Co),0.1136,29.91417289,6.339555239,18.0406,5.07,142.1278,1.31,91.07,87.82
ANFI,Amira Nature Foods Ltd,0.0744,10.37449346,0.31613334,6.0749,5.211,null,null,2.38,4.39
AMN,AMN Healthcare Services Inc,0.217,26.62234287,4.777284697,16.8581,11.531,53.4088,0.89,60.85,48.3
AMRX,"Amneal Pharmaceuticals, Inc.",null,null,null,null,7.944,null,null,16.65,17.85
AP,Ampco-Pittsburgh Corporation,0.1348,-4.142612612,0.778987673,null,15.94,51.074,0.08,10.65,12.8
APH,Amphenol Corporation,0.4689,18.14625694,6.742235248,24.6504,3.904,82.764,0.87,87.76,89.67
AXR,AMREP Corporation,2.0213,-2.44015334,0.681496378,1040.1964,8.553,null,null,7.16,6.99
AME,"AMTEK, Inc.",1.9019,19.02796718,3.988357163,25.3368,1.782,52.4618,0.79,73.59,72.13
AFSI^A,"AmTrust Financial Services, Inc.",1.4101,null,null,null,null,null,null,null,
AFSI^B,"AmTrust Financial Services, Inc.",null,null,null,null,null,null,null,null,
AFSI^C,"AmTrust Financial Services, Inc.",null,null,null,null,null,null,null,null,
AFSI^D,"AmTrust Financial Services, Inc.",null,null,null,null,null,null,null,null,
AFSI^E,"AmTrust Financial Services, Inc.",null,null,null,null,null,null,null,null,
AFSI^F,"AmTrust Financial Services, Inc.",null,null,null,null,null,null,null,null,
AFSS,"AmTrust Financial Services, Inc.",null,null,null,null,null,null,null,null,
AFST,"AmTrust Financial Services, Inc.",null,null,null,null,null,null,null,null,
APC,Anadarko Petroleum Corporation,0.71,-0.242753799,4.143728477,null,2.941,187.6673,0.23,75.44,48.54
ANDV,Andeavor,0.0952,21.82828416,2.052825323,25.8226,2.311,90.6665,1.13,132.37,110.4
ANDX,Andeavor Logistics LP,0.0583,8.394205769,1.502565895,30.9629,3.124,66.1352,0.59,42.49,47.06
AU,AngloGold Ashanti Limited,null,-7.103012272,null,null,2.498,null,null,8.1,8.98
BUD,Anheuser-Busch Inbev SA,null,11.11141992,null,null,2.418,null,null,98.54,111.12
AXE,Anixter International Inc.,0.0859,7.775621803,1.44331431,17.9974,3.689,86.2055,0.95,64.675,70.55
NLY,Annaly Capital Management Inc,0.0606,19.83464306,1.017790188,9.5403,3.158,641.7187,1.12,10.5956,12.06
NLY^C,Annaly Capital Management Inc,null,null,null,null,null,null,null,null,
NLY^D,Annaly Capital Management Inc,null,null,null,null,null,null,null,null,
NLY^F,Annaly Capital Management Inc,null,null,null,null,null,null,null,null,
NLY^G,Annaly Capital Management Inc,null,null,null,null,null,null,null,null,
AMGP,Antero Midstream GP LP,0.6966,95.4919509,164.716619,145.3636,6.585,0,0.07,18.49,18.96
AM,Antero Midstream Partners LP,0.1079,16.86646067,3.700390684,21.3459,4.145,84.5668,0.43,30.09,28.56
AR,Antero Resources Corporation,0.0293,4.570297912,0.796809195,67.8538,11.087,59.6091,0.05,21.35,18.55
ANTM,"Anthem, Inc.",0.973,15.61229505,2.301211854,16.022,3.885,73.6177,5.13,242.27,228.75
ANH,Anworth Mortgage Asset  Corporation,null,4.891214129,0.945403332,17.4416,3.366,906.8846,-0.05,5.12,5.59
ANH^A,Anworth Mortgage Asset  Corporation,null,null,null,null,null,null,null,null,
ANH^B,Anworth Mortgage Asset  Corporation,null,null,null,null,null,null,null,null,
ANH^C,Anworth Mortgage Asset  Corporation,null,null,null,null,null,null,null,null,
AON,Aon plc,0.0524,27.66169154,6.320341039,34.0194,2.689,115.0726,2.39,137.2,138.5
APA,Apache Corporation,0.4599,17.80082091,2.222481849,179.9092,9.676,111.117,0.38,45.7,39.72
AIV,Apartment Investment and Management Company,null,24.32894408,4.307863904,252.5953,3.805,261.9394,0.52,42.39,43.88
AIV^A,Apartment Investment and Management Company,null,null,null,null,null,null,null,null,
APY,Apergy Corporation,0.1077,null,1.72630569,null,1.522,0,0.3175,39.43,
ARI,Apollo Commercial Real Estate Finance,null,9.266581435,1.144216441,11.7172,11.13,89.6773,0.38,18.67,18.69
ARI^C,Apollo Commercial Real Estate Finance,null,null,null,null,null,null,null,null,
APO,"Apollo Global Management, LLC",null,26.64617968,6.229868797,11.5695,5.028,238.6155,-1,30.98,32.62
APO^A,"Apollo Global Management, LLC",null,null,null,null,null,null,null,null,
APO^B,"Apollo Global Management, LLC",null,null,null,null,null,null,null,null,
AIY,Apollo Investment Corporation,null,null,null,null,null,null,null,null,
AFT,Apollo Senior Floating Rate Fund Inc.,null,null,null,null,0.155,null,null,16.52,16.48
AIF,Apollo Tactical Income Fund Inc.,null,null,null,null,0.176,null,null,15.64,15.71
APLE,"Apple Hospitality REIT, Inc.",null,5.403190088,1.193642493,19.5843,3.677,37.3251,0.18,18.43,19.65
AIT,"Applied Industrial Technologies, Inc.",0.3392,20.401244,3.50940357,21.0672,2.138,128.5947,0.95,73.2,62.65
ATR,"AptarGroup, Inc.",0.2775,17.20429294,4.102191162,26.2703,6.887,90.4485,0.95,93.555,86.43
APTV,Aptiv PLC,0.3141,43.89679127,7.237626376,13.0476,3.712,121.8056,1.1555,95.63,85.67
WTR,"Aqua America, Inc.",0.1176,12.58039697,3.15084315,25.4928,12.357,111.5491,0.29,35.04,37.27
AQ,Aquantia Corp.,4.5579,null,4.629551536,null,4.186,0,-0.04,12.11,10.86
WAAS,AquaVenture Holdings Limited,4.8869,-7.377911643,1.225446921,null,26.099,50.6671,-0.24,15.44,15.31
ARMK,Aramark,0.1008,19.78763927,3.328264207,26.8873,6.462,279.7948,0.11,37.97,42.27
ABR,Arbor Realty Trust,0.0923,13.57222273,1.013668165,8.1406,7.091,431.3966,0.42,10.1325,8.66
ABR^A,Arbor Realty Trust,0.0807,null,null,null,null,null,null,null,
ABR^B,Arbor Realty Trust,null,null,null,null,null,null,null,null,
ABR^C,Arbor Realty Trust,null,null,null,null,null,null,null,null,
ARC,"ARC Document Solutions, Inc.",0.2132,-15.92079987,0.643424659,17.2057,6.095,104.9716,0.01,1.88,2.48
MT,ArcelorMittal,0.0982,13.152548,null,null,1.819,32.9812,null,30.2,31.73
ARCH,"Arch Coal, Inc.",1.4416,33.11935299,2.37014844,12.854,6.375,46.7811,2.87,80.31,85.76
ADM,Archer-Daniels-Midland Company,0.06,9.198672357,1.377505868,16.0642,2.664,48.0461,0.7,46.52,41.77
AROC,"Archrock, Inc.",0.0249,3.567794344,1.077053984,127.1693,0.829,182.4222,-0.06,12.4,9.7
ARNC,Arconic Inc.,0.43,-6.453674121,1.537463615,28.2213,3.235,121.8876,0.3,17.32,24.65
ARCO,Arcos Dorados Holdings Inc.,0.5223,20.19572036,3.30072522,61.796,0.214,142.123,0,7.15,9.75
RCUS,"Arcus Biosciences, Inc.",19.6452,null,2.441182361,null,19.277,0,-1.37,14.23,
ARD,Ardagh Group S.A.,0.203,null,null,25.3674,4.001,null,-0.06,16.435,20.17
ASC,Ardmore Shipping Corporation,0.5642,-3.971840027,0.723031284,null,6.276,119.4241,-0.16,8.55,7.8
AFC,Ares Capital Corporation,null,null,null,null,null,null,null,null,
ACRE,Ares Commercial Real Estate Corporation,null,7.935092129,0.95371864,13.4336,0.902,246.5454,0.33,13.94,13.34
ARDC,"Ares Dynamic Credit Allocation Fund, Inc.",null,null,null,null,0.452,null,null,16.23,16.23
ARES,Ares Management L.P.,null,46.33656212,5.596385863,4.5812,1.947,1631.8526,0.39,21.05,18.8
ARES^A,Ares Management L.P.,null,null,null,null,null,null,null,null,
AGX,"Argan, Inc.",1.4647,16.69832209,1.565196145,12.9531,1.495,0,0.31,40.4,42.8
ARGD,"Argo Group International Holdings, Ltd.",1.5708,null,null,null,null,null,null,null,
ARGO,"Argo Group International Holdings, Ltd.",1.6547,2.120375483,1.137856441,13.9554,2.444,32.6004,0.73,59.85,60.75
ANET,"Arista Networks, Inc.",1.7789,31.51877083,10.54449112,42.2707,4.362,2.0129,1.95,260.93,218.25
AI,Arlington Asset Investment Corp,2.2114,-12.98681972,0.977432059,18.2008,8.69,1176.217,-2,10.82,12.15
AI^B,Arlington Asset Investment Corp,null,null,null,null,null,null,null,null,
AIC,Arlington Asset Investment Corp,null,3.714717997,null,null,null,null,null,#N/A Real Time,24.254
AIW,Arlington Asset Investment Corp,null,null,null,null,null,null,null,null,
AHH,"Armada Hoffler Properties, Inc.",null,10.75775695,3.04336509,78.8586,2.995,262.105,0.11,15.1,15.59
ARR,"ARMOUR Residential REIT, Inc.",null,15.91149053,0.932943389,3.2895,7.166,664.622,0.97,22.82,26.09
ARR^A,"ARMOUR Residential REIT, Inc.",null,null,null,null,null,null,null,null,
ARR^B,"ARMOUR Residential REIT, Inc.",null,null,null,null,null,null,null,null,
AFI,"Armstrong Flooring, Inc.",0.1932,-7.682325461,0.683849331,145.1031,5.531,16.7587,-0.4,14.63,16.51
AWI,Armstrong World Industries Inc,0.4769,44.88888889,8.04694188,19.5634,4.521,208.6677,0.53,63.15,59.6
ARW,"Arrow Electronics, Inc.",0.0789,8.887372837,1.297219316,12.1785,4.427,70.0303,1.58,77.46,78.36
AJG,Arthur J. Gallagher & Co.,0.0901,16.65871764,2.666599723,14.8618,1.99,69.8201,1.51,66.05,64.79
APAM,Artisan Partners Asset Management Inc.,null,34.07760966,13.94575907,20.8382,8.233,113.9918,0.75,30,39.6
ASA,ASA Gold and Precious Metals Limited,null,null,null,null,0.167,null,null,10.1248,10.65
ABG,Asbury Automotive Group Inc,0.0044,40.19377163,3.527901805,9.0651,9.9,392.9295,1.95,72.15,66.45
ASX,"ASE Technology Holding Co., Ltd.",null,null,null,null,1.637,null,null,4.56,
ASGN,ASGN Incorporated,0.4263,17.15353718,3.996885864,25.2312,1.847,54.933,0.56,78.42,62.85
AHT,Ashford Hospitality Trust Inc,null,-66.25112245,4.190501772,null,3.37,2198.0074,-0.39,7.6,6.71
AHT^D,Ashford Hospitality Trust Inc,null,null,null,null,null,null,null,null,
AHT^F,Ashford Hospitality Trust Inc,null,null,null,null,null,null,null,null,
AHT^G,Ashford Hospitality Trust Inc,null,null,null,null,null,null,null,null,
AHT^H,Ashford Hospitality Trust Inc,null,null,null,null,null,null,null,null,
AHT^I,Ashford Hospitality Trust Inc,null,null,null,null,null,null,null,null,
ASH,Ashland Global Holdings Inc.,0.5992,-0.646013801,1.385277281,46.5154,4.875,75.1353,1.17,78.54,71.03
APB,"Asia Pacific Fund, Inc. (The)",0.316,null,null,null,3.498,null,null,13.812,14.38
ASPN,"Aspen Aerogels, Inc.",0.6109,-16.90103226,1.275629388,null,4.125,0,-0.29,4.95,4.99
AHL,Aspen Insurance Holdings Limited,null,-13.91819079,1.070045767,31.2093,4.692,24.8144,0.39,41.85,41.75
AHL^C,Aspen Insurance Holdings Limited,null,null,null,null,null,null,null,null,
AHL^D,Aspen Insurance Holdings Limited,null,null,null,null,null,null,null,null,
ASB,Associated Banc-Corp,null,7.130751553,1.340005736,18.1295,3.59,154.2413,0.41,27.925,25.3
ASB^C,Associated Banc-Corp,null,null,null,null,null,null,null,null,
ASB^D,Associated Banc-Corp,null,null,null,null,null,null,null,null,
AC,"Associated Capital Group, Inc.",null,-0.035487745,1.039391164,null,17.876,0.587,-0.95,39.8,33.85
AIZ,"Assurant, Inc.",null,11.52479937,1.293895004,13.2226,2.214,47.6977,1.99,102.49,100.3
AIZP,"Assurant, Inc.",null,null,null,null,null,null,null,null,
AGO,Assured Guaranty Ltd.,null,9.075329707,0.601901789,6.753,9.989,18.8827,1.71,35.51,35.45
AGO^B,Assured Guaranty Ltd.,null,null,null,null,null,null,null,null,
AGO^E,Assured Guaranty Ltd.,null,null,null,null,null,null,null,null,
AGO^F,Assured Guaranty Ltd.,null,null,null,null,null,null,null,null,
AZN,Astrazeneca PLC,0.2131,21.64916615,null,null,2.471,153.7282,null,34.9093,33.42
HOME,At Home Group Inc.,0.0369,6.865804192,3.621587299,35.1345,5.202,81.3164,0.3,39.66,28.58
T,AT&T Inc.,0.0276,22.71862871,1.340561521,16.1303,7.46,111.7366,0.75,31.875,38.1
TBB,AT&T Inc.,0.029,null,null,null,null,null,null,null,
ATTO,Atento S.A.,0.0249,-6.856369499,1.41270384,25.4834,1.047,134.1047,-0.02,6.875,9.9
ATH,Athene Holding Ltd.,0.0368,16.3515836,1.009938406,127.5974,1.787,11.4089,1.36,44.21,51.72
ATKR,Atkore International Group Inc.,0.207,64.03447163,15.8773441,15.5058,0.347,1463.0834,0.83,21.37,20.95
